epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.205,2.60926,3.80997,1.68189,0.64973,0.036,0.19912,0.06041,2.51863,4.54267,1.52965,0.000658228,0.000658228,0.000658228
2,960.033,2.35283,2.70772,1.47838,0.51504,0.46512,0.44479,0.1415,2.45755,3.1269,1.56149,0.00106257,0.00106257,0.00106257
3,1434.02,2.281,2.34818,1.48742,0.49368,0.55039,0.48091,0.15188,2.49114,3.13323,1.56358,0.0012029,0.0012029,0.0012029
4,1906.78,2.19298,2.10319,1.42163,0.5547,0.56008,0.52748,0.18014,2.41333,2.37005,1.49412,0.000812,0.000812,0.000812
5,2386.33,2.14035,1.926,1.38538,0.71712,0.6124,0.64684,0.221,2.37287,2.18,1.4527,0.000416,0.000416,0.000416
