epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1334.56,2.10243,3.23422,1.68641,0.26011,0.20935,0.19924,0.07067,1.9763,2.9484,1.58521,0.00047157,0.00047157,0.00047157
2,2577.21,1.94012,2.40527,1.55598,0.36796,0.33759,0.30518,0.1255,1.96824,2.50745,1.58278,0.000760218,0.000760218,0.000760218
3,3537.15,1.92252,2.27177,1.55439,0.3109,0.41281,0.38149,0.14694,2.01178,2.27122,1.5628,0.000860239,0.000860239,0.000860239
4,3920.16,1.87753,2.13195,1.53661,0.37096,0.38697,0.35741,0.1518,1.92623,2.25745,1.56059,0.000580174,0.000580174,0.000580174
5,4310.35,1.82252,1.95896,1.49763,0.44564,0.41511,0.41345,0.17008,1.89518,2.03455,1.54317,0.000297232,0.000297232,0.000297232
