epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.177,2.10243,3.23422,1.68641,0.26011,0.20935,0.19924,0.07067,1.9763,2.9484,1.58521,0.00047157,0.00047157,0.00047157
2,1279.56,1.93938,2.40558,1.55611,0.33723,0.34045,0.30914,0.12562,1.96497,2.48416,1.57436,0.000760218,0.000760218,0.000760218
3,1702.15,1.91283,2.2612,1.54951,0.33705,0.39063,0.37932,0.14847,2.0047,2.27235,1.54997,0.000860239,0.000860239,0.000860239
4,2075.44,1.88622,2.13324,1.52558,0.33402,0.41254,0.37339,0.15553,1.89476,2.22322,1.5087,0.000580174,0.000580174,0.000580174
5,2473.52,1.82033,1.97025,1.48996,0.40996,0.45791,0.43279,0.17924,1.8862,1.97194,1.5279,0.000297232,0.000297232,0.000297232
